E04WHT,WHOHC,OTHER H.S. COMPLETERS - WHITE
IB01,IPKTCH,IMPUTATION FLAG PREKINDERGARTEN TEACHERS
IB02,IKGTCH,IMPUTATION FLAG KINDERGARTEN TEACHERS
IB03,IELMTCH,IMPUTATION FLAG ELEMENTARY TEACHERS
IB04,ISECTCH,IMPUTATION FLAG SECONDARY TEACHERS
IB05,IUGTCH,IMPUTATION FLAG TEACHERS OF UNGRADED CLASSES
IB06,ITOTTCH,IMPUTATION FLAG TOTAL FTE OF TEACHERS
IB07,IAIDES,IMPUTATION FLAG INSTRUCTIONAL AIDES
IB08,ICORSUP,IMPUTATION FLAG INSTRUCTIONAL COORDINATORS & SUPERVISORS
IC01,IELMGUI,IMPUTATION FLAG ELEMENTARY GUIDANCE COUNSELORS/DIRECTORS
IC02,ISECGUI,IMPUTATION FLAG SECONDARY GUIDANCE COUNSELORS/DIRECTORS
IC03,ITOTGUI,IMPUTATION FLAG TOTAL GUIDANCE COUNSELORS/DIRECTORS
IC04,ILIBSPE,IMPUTATION FLAG LIBRARIANS
IC05,ILIBSUP,IMPUTATION FLAG LIBRARY SUPPORT STAFF
IC06,ILEAADM,IMPUTATION FLAG LEA ADMINISTRATORS
IC07,ILEASUP,IMPUTATION FLAG (LEA) ADMINISTRATIVE SUPPORT STAFF
IC08,ISCHADM,IMPUTATION FLAG SCHOOL ADMINISTRATORS
IC09,ISCHSUP,IMPUTATION FLAG SCHOOL ADMINISTRATIVE SUPPORT STAFF
IC10,ISTUSUP,IMPUTATION FLAG STUDENT SUPPORT SERVICES
IC11,IOTHSUP,IMPUTATION FLAG ALL OTHER SUPPORT SERVICES STAFF
ID01,IPK,IMPUTATION FLAG PREKINDERGARTEN STUDENTS
ID02,IKG,IMPUTATION FLAG KINDERGARTEN STUDENTS
ID03,IG01,IMPUTATION FLAG GRADE 1 STUDENTS
ID04,IG02,IMPUTATION FLAG GRADE 2 STUDENTS
ID05,IG03,IMPUTATION FLAG GRADE 3 STUDENTS
ID06,IG04,IMPUTATION FLAG GRADE 4 STUDENTS
ID07,IG05,IMPUTATION FLAG GRADE 5 STUDENTS
ID08,IG06,IMPUTATION FLAG GRADE 6 STUDENTS
ID09,IG07,IMPUTATION FLAG GRADE 7 STUDENTS
ID10,IG08,IMPUTATION FLAG GRADE 8 STUDENTS
ID11,IG09,IMPUTATION FLAG GRADE 9 STUDENTS
ID12,IG10,IMPUTATION FLAG GRADE 10 STUDENTS
ID13,IG11,IMPUTATION FLAG GRADE 11 STUDENTS
ID14,IG12,IMPUTATION FLAG GRADE 12 STUDENTS
ID15,IUG,IMPUTATION FLAG UNGRADED STUDENTS
ID16,IMEMBER,IMPUTATION FLAG TOTAL STUDENTS
IE01,IREGDIP,IMPUTATION FLAG REGULAR DIPLOMA H.S. COMPLETERS
IE02,IOTHDIP,IMPUTATION FLAG OTHER DIPLOMA RECIPIENTS
IE03,IEQUIV,IMPUTATION FLAG EQUIVALENCY RECIPIENTS
IE04,IOTHCOM,IMPUTATION FLAG OTHER H.S. COMPLETERS
ID01AMIN,IAMPK,IMPUTATION FLAG PREKINDERGARTEN STUDENTS – AM. INDIAN
ID01ASIN,IASPK,IMPUTATION FLAG PREKINDERGARTEN STUDENTS – ASIAN
ID01HISP,IHIPK,IMPUTATION FLAG PREKINDERGARTEN STUDENTS – HISPANIC
ID01BLK,IBLPK,IMPUTATION FLAG PREKINDERGARTEN STUDENTS – BLACK
ID01WHT,IWHPK,IMPUTATION FLAG PREKINDERGARTEN STUDENTS – WHITE
ID02AMIN,IAMKG,IMPUTATION FLAG KINDERGARTEN STUDENTS – AM. INDIAN
ID02ASIN,IASKG,IMPUTATION FLAG KINDERGARTEN STUDENTS – ASIAN
